Clock,S|R,Typ,Pckt#,Frm #,PktID,BitLn,Time     ,Local IP:Port   ,RemoteIP:Port,SPID,SPIN,SPCO,OI,Suffix,Miscellaneous
04/26/10 17:14:40.952001,Rcv,Ack,15,,,,632198015,127.0.0.1:12345,127.0.0.1:4944,,,,,,
632198031: Wole2 632176469000 0 - 1.000 0.000 1.000 0.000 1.000 0.000 14.000
04/26/10 17:14:40.998874,Rcv,Nrm,   22,   33,ID_REPLICA_MANAGER_SERIALIZE,2543,632198069,127.0.0.1:12345,127.0.0.1:4943,52685,-842150451,0,17,,
04/26/10 17:14:40.998874,Snd,Nrm,   16,   17,ID_REPLICA_MANAGER_SERIALIZE,2543,632198069,127.0.0.1:12345,127.0.0.1:4944,52685,-842150451,0,15,,
04/26/10 17:14:41.14499,Rcv,Ack,16,,,,632198079,127.0.0.1:12345,127.0.0.1:4944,,,,,,
632198092: Wole2 632176469000 0 - 1.000 0.000 1.000 0.000 1.000 0.000 16.000
04/26/10 17:14:41.61372,Rcv,Nrm,   23,   34,ID_REPLICA_MANAGER_SERIALIZE,2543,632198133,127.0.0.1:12345,127.0.0.1:4943,52685,-842150451,0,18,,
04/26/10 17:14:41.61372,Snd,Nrm,   17,   18,ID_REPLICA_MANAGER_SERIALIZE,2543,632198133,127.0.0.1:12345,127.0.0.1:4944,52685,-842150451,0,16,,
04/26/10 17:14:41.76996,Rcv,Ack,17,,,,632198144,127.0.0.1:12345,127.0.0.1:4944,,,,,,
632198153: Wole2 632176469000 0 - 1.000 0.000 1.000 0.000 1.000 0.000 18.000
04/26/10 17:14:41.123869,Rcv,Nrm,   24,   35,ID_REPLICA_MANAGER_SERIALIZE,2543,632198187,127.0.0.1:12345,127.0.0.1:4943,52685,-842150451,0,19,,
632198213: Wole2 632176469000 0 - 1.000 0.000 1.000 0.000 1.000 0.000 20.000
04/26/10 17:14:41.155118,Snd,Nrm,   18,   19,ID_REPLICA_MANAGER_SERIALIZE,2543,632198219,127.0.0.1:12345,127.0.0.1:4944,52685,-842150451,0,17,,
04/26/10 17:14:41.170743,Rcv,Ack,18,,,,632198230,127.0.0.1:12345,127.0.0.1:4944,,,,,,
04/26/10 17:14:41.186367,Rcv,Nrm,   25,   36,ID_REPLICA_MANAGER_SERIALIZE,2543,632198251,127.0.0.1:12345,127.0.0.1:4943,52685,-842150451,0,20,,
632198274: Wole2 632176469000 0 - 1.000 0.000 1.000 0.000 1.000 0.000 22.000
04/26/10 17:14:41.217616,Snd,Nrm,   19,   20,ID_REPLICA_MANAGER_SERIALIZE,2543,632198285,127.0.0.1:12345,127.0.0.1:4944,52685,-842150451,0,18,,
04/26/10 17:14:41.217616,Rcv,Ack,19,,,,632198286,127.0.0.1:12345,127.0.0.1:4944,,,,,,
04/26/10 17:14:41.248865,Snd,Nrm,   20,   21,ID_REPLICA_MANAGER_SERIALIZE,2543,632198309,127.0.0.1:12345,127.0.0.1:4944,52685,-842150451,0,19,,
04/26/10 17:14:41.248865,Rcv,Ack,20,,,,632198309,127.0.0.1:12345,127.0.0.1:4944,,,,,,
04/26/10 17:14:41.248865,Rcv,Nrm,   26,   37,ID_REPLICA_MANAGER_SERIALIZE,2543,632198316,127.0.0.1:12345,127.0.0.1:4943,52685,-842150451,0,21,,
632198337: Wole2 632176469000 0 - 1.000 0.000 1.000 0.000 1.000 0.000 24.000
04/26/10 17:14:41.311362,Snd,Nrm,   21,   22,ID_REPLICA_MANAGER_SERIALIZE,2543,632198371,127.0.0.1:12345,127.0.0.1:4944,52685,-842150451,0,20,,
04/26/10 17:14:41.311362,Rcv,Ack,21,,,,632198371,127.0.0.1:12345,127.0.0.1:4944,,,,,,
04/26/10 17:14:41.311362,Rcv,Nrm,   27,   38,ID_REPLICA_MANAGER_SERIALIZE,2543,632198383,127.0.0.1:12345,127.0.0.1:4943,52685,-842150451,0,22,,
632198404: Wole2 632176469000 0 - 1.000 0.000 1.000 0.000 1.000 0.000 26.000
04/26/10 17:14:41.373860,Rcv,Nrm,   28,   39,ID_REPLICA_MANAGER_SERIALIZE,2543,632198437,127.0.0.1:12345,127.0.0.1:4943,52685,-842150451,0,23,,
04/26/10 17:14:41.373860,Snd,Nrm,   22,   23,ID_REPLICA_MANAGER_SERIALIZE,2543,632198437,127.0.0.1:12345,127.0.0.1:4944,52685,-842150451,0,21,,
04/26/10 17:14:41.373860,Rcv,Ack,22,,,,632198438,127.0.0.1:12345,127.0.0.1:4944,,,,,,
632198464: Wole2 632176469000 0 - 1.000 0.000 1.000 0.000 1.000 0.000 28.000
